,phrase,label,sentiment,subjectivity,language,count
Russische Ankündigung einer Waffenruhe,Russische Ankündigung einer Waffenruhe,MISC,,,de,4
EU-Kommissionspräsidentin,EU-Kommissionspräsidentin,MISC,,,de,4
TTF-Kontrakt,TTF-Kontrakt,MISC,,,de,4
amerikanischer,amerikanischer,MISC,,,de,4
Tears of the Kingdom,Tears of the Kingdom,MISC,,,de,4
EU-Kommissionspräsidentin Ursula von der Leyen,EU-Kommissionspräsidentin Ursula von der Leyen,MISC,,,de,4
TikTok,TikTok,MISC,,,de,4
Untersuchungsausschuss,Untersuchungsausschuss,MISC,,,de,4
Mihambo,Mihambo,MISC,,,de,4
Krieg im Sudan,Krieg im Sudan,MISC,,,de,4
Sprengstoff-Sabotage,Sprengstoff-Sabotage,MISC,,,de,4
Ukrainische Angriffe auf Versorgungsknotenpunkte,Ukrainische Angriffe auf Versorgungsknotenpunkte,MISC,,,de,4
belgischen,belgischen,MISC,,,de,4
Luftangriffen auf Kiew,Luftangriffen auf Kiew,MISC,,,de,4
Kriegsjahr,Kriegsjahr,MISC,,,de,4
Nasa,Nasa,MISC,,,de,4
litauischen,litauischen,MISC,,,de,4
Renault Twingo,Renault Twingo,MISC,,,de,4
Manifest für den Frieden,Manifest für den Frieden,MISC,,,de,4
Energiesicherheit,Energiesicherheit,MISC,,,de,4
Ein Jahr später,Ein Jahr später,MISC,,,de,4
brandenburgischen,brandenburgischen,MISC,,,de,4
ISS,ISS,MISC,,,de,4
hessischen,hessischen,MISC,,,de,4
LNG-Lieferungen,LNG-Lieferungen,MISC,,,de,4
russischen Invasion in der Ukraine,russischen Invasion in der Ukraine,MISC,,,de,4
Garmin,Garmin,MISC,,,de,4
Ukrainischen,Ukrainischen,MISC,,,de,4
russischen Überfalls auf die,russischen Überfalls auf die,MISC,,,de,4
afrikanische,afrikanische,MISC,,,de,4
russische Invasion,russische Invasion,MISC,,,de,4
Wiedervereinigung,Wiedervereinigung,MISC,,,de,4
serbische,serbische,MISC,,,de,4
Iskander,Iskander,MISC,0.0,0.0,de,4
Roisman,Roisman,MISC,,,de,4
Russland-Rückzug,Russland-Rückzug,MISC,,,de,4
F-16-Kampfflugzeuge,F-16-Kampfflugzeuge,MISC,,,de,4
Leopard-2,Leopard-2,MISC,,,de,4
Extremismus,Extremismus,MISC,,,de,4
Die Angst,Die Angst,MISC,,,de,4
NATO-Beteiligung,NATO-Beteiligung,MISC,,,de,4
Frankfurter,Frankfurter,MISC,,,de,4
Landtagswahl in Niedersachsen,Landtagswahl in Niedersachsen,MISC,,,de,4
Künstlicher Intelligenz,Künstlicher Intelligenz,MISC,,,de,4
israelischen,israelischen,MISC,,,de,4
Hubschrauber-Absturz bei Kiew,Hubschrauber-Absturz bei Kiew,MISC,,,de,4
Inflation Reduction Act,Inflation Reduction Act,MISC,,,de,4
Treffen in Ramstein,Treffen in Ramstein,MISC,,,de,4
Chinesischer,Chinesischer,MISC,,,de,4
Terminkontrakt TTF,Terminkontrakt TTF,MISC,,,de,4
Russlands Terror-Regime,Russlands Terror-Regime,MISC,,,de,4
Grenze,Grenze,MISC,,,de,4
Scharm el Scheich,Scharm el Scheich,MISC,0.0,0.0,de,4
Nuklearer Unfall,Nuklearer Unfall,MISC,,,de,4
Explosionen reißen Löcher,Explosionen reißen Löcher,MISC,,,de,4
Putin-Vertrauten,Putin-Vertrauten,MISC,,,de,4
russischen Invasoren,russischen Invasoren,MISC,,,de,4
MDAX,MDAX,MISC,,,de,4
Eurovision Song Contest,Eurovision Song Contest,MISC,,,de,4
Welt am Sonntag,Welt am Sonntag,MISC,,,de,4
